info: Detected OS: linux, using Control key {"service":"dsalgo-test-framework","timestamp":"2026-02-16 17:40:25"}
info: Navigated to Tree landing page {"service":"dsalgo-test-framework","timestamp":"2026-02-16 17:40:25"}
info: Clicked topic: Overview of Trees {"service":"dsalgo-test-framework","timestamp":"2026-02-16 17:40:26"}
info: Loaded Excel file: ./testdata/TestData.xlsx {"service":"dsalgo-test-framework","timestamp":"2026-02-16 17:40:26"}
info: Read data from sheet: EditorTest, row: 1 {"service":"dsalgo-test-framework","timestamp":"2026-02-16 17:40:26"}
info: 📝 Normalized 1 lines of code {"service":"dsalgo-test-framework","timestamp":"2026-02-16 17:40:26"}
info: ✅ Entered code in editor with normalized indentation {"service":"dsalgo-test-framework","timestamp":"2026-02-16 17:40:28"}
info: Triggered Run button click (expecting error) {"service":"dsalgo-test-framework","timestamp":"2026-02-16 17:40:28"}
info: Error dialog appeared: SyntaxError: EOF in multi-line statement on line 2 {"service":"dsalgo-test-framework","timestamp":"2026-02-16 17:40:28"}
info: Accepted error dialog {"service":"dsalgo-test-framework","timestamp":"2026-02-16 17:40:28"}
info: ✅ Error alert was handled during clickRunExpectingError {"service":"dsalgo-test-framework","timestamp":"2026-02-16 17:40:28"}
